dataset,method,test_acc
twitter,baseline,0.5811209439528023
webkb,baseline,0.6553133514986376
webkb,baseline,0.6416893732970027
webkb,baseline,0.6689373297002725
webkb,baseline,0.7425068119891008
webkb,baseline,0.6907356948228883
webkb,baseline,0.715258855585831
webkb,baseline,0.6580381471389646
webkb,baseline,0.5994550408719346
webkb,baseline,0.7111716621253406
webkb,baseline,0.7506811989100818
webkb,baseline,0.7643051771117166
webkb,baseline,0.7534059945504087
webkb,baseline,0.6798365122615804
webkb,baseline,0.7043596730245232
webkb,baseline,0.7016348773841962
webkb,baseline,0.6866485013623979
webkb,baseline,0.7356948228882834
webkb,baseline,0.6335149863760218
webkb,baseline,0.7193460490463215
webkb,baseline,0.7479564032697548
webkb,baseline,0.6730245231607629
webkb,baseline,0.55858310626703
webkb,baseline,0.6348773841961853
webkb,baseline,0.6784741144414169
webkb,baseline,0.7016348773841962
webkb,baseline,0.7084468664850136
webkb,baseline,0.6757493188010899
webkb,baseline,0.7302452316076294
webkb,baseline,0.7370572207084468
webkb,baseline,0.6743869209809265
webkb,baseline,0.6607629427792916
webkb,baseline,0.5980926430517711
webkb,baseline,0.6948228882833788
webkb,baseline,0.7329700272479565
webkb,baseline,0.5762942779291553
webkb,baseline,0.6743869209809265
webkb,baseline,0.6798365122615804
webkb,baseline,0.6321525885558583
webkb,baseline,0.6130790190735694
webkb,baseline,0.7098092643051771
webkb,baseline,0.6689373297002725
webkb,baseline,0.6634877384196185
webkb,baseline,0.7629427792915532
webkb,baseline,0.6185286103542235
webkb,baseline,0.662125340599455
webkb,baseline,0.6839237057220708
webkb,baseline,0.7697547683923706
webkb,baseline,0.5354223433242506
webkb,baseline,0.6893732970027248
webkb,baseline,0.6648501362397821
webkb,baseline,0.7643051771117166
webkb,baseline,0.6198910081743869
webkb,baseline,0.6798365122615804
webkb,baseline,0.5953678474114441
webkb,baseline,0.6934604904632152
webkb,baseline,0.6757493188010899
webkb,baseline,0.667574931880109
webkb,baseline,0.667574931880109
webkb,baseline,0.6934604904632152
webkb,baseline,0.7493188010899182
webkb,baseline,0.6825613079019074
webkb,baseline,0.6634877384196185
webkb,baseline,0.7070844686648501
webkb,baseline,0.6307901907356949
webkb,baseline,0.5844686648501363
webkb,baseline,0.6089918256130791
webkb,baseline,0.6307901907356949
webkb,baseline,0.7370572207084468
webkb,baseline,0.6825613079019074
webkb,baseline,0.6566757493188011
webkb,baseline,0.6321525885558583
webkb,baseline,0.6743869209809265
webkb,baseline,0.5844686648501363
webkb,baseline,0.6049046321525886
webkb,baseline,0.7220708446866485
webkb,baseline,0.6498637602179836
webkb,baseline,0.659400544959128
webkb,baseline,0.6185286103542235
webkb,baseline,0.6866485013623979
webkb,baseline,0.7724795640326976
webkb,baseline,0.7070844686648501
webkb,baseline,0.6607629427792916
webkb,baseline,0.6839237057220708
webkb,baseline,0.6798365122615804
webkb,baseline,0.7138964577656676
webkb,baseline,0.6961852861035422
webkb,baseline,0.6893732970027248
webkb,baseline,0.6348773841961853
webkb,baseline,0.6852861035422343
webkb,baseline,0.7111716621253406
webkb,baseline,0.6839237057220708
webkb,baseline,0.7125340599455041
webkb,baseline,0.7016348773841962
webkb,baseline,0.7275204359673024
webkb,baseline,0.6553133514986376
webkb,baseline,0.6239782016348774
webkb,baseline,0.7561307901907357
webkb,baseline,0.5040871934604905
webkb,baseline,0.6784741144414169
webkb,baseline,0.6457765667574932
